code,name,sw_industry,source,last_updated
000001,平安银行,银行,sw,2026-05-24T20:41:58
000002,万  科Ａ,房地产,sw,2026-05-24T20:41:58
000004,*ST国华,计算机,sw,2026-05-24T20:41:58
000006,深振业Ａ,房地产,sw,2026-05-24T20:41:58
000007,全新好,商贸零售,sw,2026-05-24T20:41:58
000008,神州高铁,机械设备,sw,2026-05-24T20:41:58
000009,中国宝安,电力设备,sw,2026-05-24T20:41:58
000010,*ST美丽,建筑装饰,sw,2026-05-24T20:41:58
000011,深物业A,房地产,sw,2026-05-24T20:41:58
000012,南  玻Ａ,建筑材料,sw,2026-05-24T20:41:58
000014,沙河股份,房地产,sw,2026-05-24T20:41:58
000016,*ST康佳A,家用电器,sw,2026-05-24T20:41:58
000017,深中华A,纺织服饰,sw,2026-05-24T20:41:58
000019,深粮控股,农林牧渔,sw,2026-05-24T20:41:58
000020,深华发Ａ,电子,sw,2026-05-24T20:41:58
000021,深科技,电子,sw,2026-05-24T20:41:58
000025,特  力Ａ,综合,sw,2026-05-24T20:41:58
000026,飞亚达,纺织服饰,sw,2026-05-24T20:41:58
000027,深圳能源,公用事业,sw,2026-05-24T20:41:58
000028,国药一致,医药生物,sw,2026-05-24T20:41:58
000029,深深房Ａ,房地产,sw,2026-05-24T20:41:58
000030,富奥股份,汽车,sw,2026-05-24T20:41:58
000031,大悦城,房地产,sw,2026-05-24T20:41:58
000032,深桑达Ａ,建筑装饰,sw,2026-05-24T20:41:58
000034,神州数码,计算机,sw,2026-05-24T20:41:58
000035,中国天楹,环保,sw,2026-05-24T20:41:58
000036,华联控股,房地产,sw,2026-05-24T20:41:58
000037,深南电A,公用事业,sw,2026-05-24T20:41:58
000039,中集集团,机械设备,sw,2026-05-24T20:41:58
000042,中洲控股,房地产,sw,2026-05-24T20:41:58
000045,深纺织Ａ,电子,sw,2026-05-24T20:41:58
000048,京基智农,农林牧渔,sw,2026-05-24T20:41:58
000049,德赛电池,电力设备,sw,2026-05-24T20:41:58
000050,深天马Ａ,电子,sw,2026-05-24T20:41:58
000055,方大集团,建筑材料,sw,2026-05-24T20:41:58
000056,*ST皇庭,房地产,sw,2026-05-24T20:41:58
000058,深 赛 格,商贸零售,sw,2026-05-24T20:41:58
000059,华锦股份,石油石化,sw,2026-05-24T20:41:58
000060,中金岭南,有色金属,sw,2026-05-24T20:41:58
000061,农 产 品,商贸零售,sw,2026-05-24T20:41:58
000062,深圳华强,电子,sw,2026-05-24T20:41:58
000063,中兴通讯,通信,sw,2026-05-24T20:41:58
000065,北方国际,建筑装饰,sw,2026-05-24T20:41:58
000066,中国长城,计算机,sw,2026-05-24T20:41:58
000068,华控赛格,环保,sw,2026-05-24T20:41:58
000069,华侨城Ａ,房地产,sw,2026-05-24T20:41:58
000070,特发信息,通信,sw,2026-05-24T20:41:58
000078,ST海王,医药生物,sw,2026-05-24T20:41:58
000088,盐 田 港,交通运输,sw,2026-05-24T20:41:58
000089,深圳机场,交通运输,sw,2026-05-24T20:41:58
000090,天健集团,房地产,sw,2026-05-24T20:41:58
000096,广聚能源,石油石化,sw,2026-05-24T20:41:58
000099,中信海直,交通运输,sw,2026-05-24T20:41:58
000100,TCL科技,电子,sw,2026-05-24T20:41:58
000151,中成股份,商贸零售,sw,2026-05-24T20:41:58
000153,丰原药业,医药生物,sw,2026-05-24T20:41:58
000155,川能动力,公用事业,sw,2026-05-24T20:41:58
000156,华数传媒,传媒,sw,2026-05-24T20:41:58
000157,中联重科,机械设备,sw,2026-05-24T20:41:58
000158,常山北明,计算机,sw,2026-05-24T20:41:58
000159,国际实业,电力设备,sw,2026-05-24T20:41:58
000166,申万宏源,非银金融,sw,2026-05-24T20:41:58
000301,东方盛虹,石油石化,sw,2026-05-24T20:41:58
000333,美的集团,家用电器,sw,2026-05-24T20:41:58
000338,潍柴动力,汽车,sw,2026-05-24T20:41:58
000400,许继电气,电力设备,sw,2026-05-24T20:41:58
000401,金隅冀东,建筑材料,sw,2026-05-24T20:41:58
000402,金 融 街,房地产,sw,2026-05-24T20:41:58
000403,派林生物,医药生物,sw,2026-05-24T20:41:58
000404,长虹华意,家用电器,sw,2026-05-24T20:41:58
000407,胜利股份,公用事业,sw,2026-05-24T20:41:58
000408,藏格矿业,有色金属,sw,2026-05-24T20:41:58
000409,云鼎科技,计算机,sw,2026-05-24T20:41:58
000410,沈阳机床,机械设备,sw,2026-05-24T20:41:58
000411,英特集团,医药生物,sw,2026-05-24T20:41:58
000415,渤海租赁,非银金融,sw,2026-05-24T20:41:58
000417,合百集团,商贸零售,sw,2026-05-24T20:41:58
000419,通程控股,商贸零售,sw,2026-05-24T20:41:58
000420,吉林化纤,基础化工,sw,2026-05-24T20:41:58
000421,南京公用,综合,sw,2026-05-24T20:41:58
000422,湖北宜化,基础化工,sw,2026-05-24T20:41:58
000423,东阿阿胶,医药生物,sw,2026-05-24T20:41:58
000425,徐工机械,机械设备,sw,2026-05-24T20:41:58
000426,兴业银锡,有色金属,sw,2026-05-24T20:41:58
000428,华天酒店,社会服务,sw,2026-05-24T20:41:58
000429,粤高速Ａ,交通运输,sw,2026-05-24T20:41:58
000430,张家界,社会服务,sw,2026-05-24T20:41:58
000488,ST晨鸣,轻工制造,sw,2026-05-24T20:41:58
000498,山东路桥,建筑装饰,sw,2026-05-24T20:41:58
000501,武商集团,商贸零售,sw,2026-05-24T20:41:58
000503,国新健康,计算机,sw,2026-05-24T20:41:58
000504,*ST生物,医药生物,sw,2026-05-24T20:41:58
000505,京粮控股,农林牧渔,sw,2026-05-24T20:41:58
000506,招金黄金,有色金属,sw,2026-05-24T20:41:58
000507,珠海港,公用事业,sw,2026-05-24T20:41:58
000509,华塑控股,电子,sw,2026-05-24T20:41:58
000510,新金路,基础化工,sw,2026-05-24T20:41:58
000513,丽珠集团,医药生物,sw,2026-05-24T20:41:58
000514,渝 开 发,房地产,sw,2026-05-24T20:41:58
000516,国际医学,医药生物,sw,2026-05-24T20:41:58
000517,荣安地产,房地产,sw,2026-05-24T20:41:58
000518,四环生物,医药生物,sw,2026-05-24T20:41:58
000519,中兵红箭,国防军工,sw,2026-05-24T20:41:58
000520,凤凰航运,交通运输,sw,2026-05-24T20:41:58
000521,长虹美菱,家用电器,sw,2026-05-24T20:41:58
000523,红棉股份,综合,sw,2026-05-24T20:41:58
000524,岭南控股,社会服务,sw,2026-05-24T20:41:58
000525,红太阳,基础化工,sw,2026-05-24T20:41:58
000526,学大教育,社会服务,sw,2026-05-24T20:41:58
000528,柳    工,机械设备,sw,2026-05-24T20:41:58
000529,广弘控股,食品饮料,sw,2026-05-24T20:41:58
000530,冰山冷热,机械设备,sw,2026-05-24T20:41:58
000531,穗恒运Ａ,公用事业,sw,2026-05-24T20:41:58
000532,华金资本,非银金融,sw,2026-05-24T20:41:58
000533,顺钠股份,电力设备,sw,2026-05-24T20:41:58
000534,万泽股份,医药生物,sw,2026-05-24T20:41:58
000536,华映科技,电子,sw,2026-05-24T20:41:58
000537,绿发电力,公用事业,sw,2026-05-24T20:41:58
000538,云南白药,医药生物,sw,2026-05-24T20:41:58
000539,粤电力Ａ,公用事业,sw,2026-05-24T20:41:58
000541,佛山照明,家用电器,sw,2026-05-24T20:41:58
000543,皖能电力,公用事业,sw,2026-05-24T20:41:58
000544,中原环保,环保,sw,2026-05-24T20:41:58
000545,金浦钛业,基础化工,sw,2026-05-24T20:41:58
000546,金圆股份,环保,sw,2026-05-24T20:41:58
000547,航天发展,国防军工,sw,2026-05-24T20:41:58
000548,湖南投资,交通运输,sw,2026-05-24T20:41:58
000550,江铃汽车,汽车,sw,2026-05-24T20:41:58
000551,创元科技,环保,sw,2026-05-24T20:41:58
000552,甘肃能化,煤炭,sw,2026-05-24T20:41:58
000553,安道麦A,基础化工,sw,2026-05-24T20:41:58
000554,泰山石油,石油石化,sw,2026-05-24T20:41:58
000555,神州信息,计算机,sw,2026-05-24T20:41:58
000557,西部创业,交通运输,sw,2026-05-24T20:41:58
000558,天府文旅,社会服务,sw,2026-05-24T20:41:58
000559,万向钱潮,汽车,sw,2026-05-24T20:41:58
000560,我爱我家,房地产,sw,2026-05-24T20:41:58
000561,烽火电子,国防军工,sw,2026-05-24T20:41:58
000563,陕国投Ａ,非银金融,sw,2026-05-24T20:41:58
000564,供销大集,商贸零售,sw,2026-05-24T20:41:58
000565,渝三峡Ａ,基础化工,sw,2026-05-24T20:41:58
000566,海南海药,医药生物,sw,2026-05-24T20:41:58
000567,海德股份,非银金融,sw,2026-05-24T20:41:58
000568,泸州老窖,食品饮料,sw,2026-05-24T20:41:58
000570,苏常柴Ａ,汽车,sw,2026-05-24T20:41:58
000571,新大洲A,煤炭,sw,2026-05-24T20:41:58
000572,海马汽车,汽车,sw,2026-05-24T20:41:58
000573,粤宏远Ａ,房地产,sw,2026-05-24T20:41:58
000576,甘化科工,国防军工,sw,2026-05-24T20:41:58
000581,威孚高科,汽车,sw,2026-05-24T20:41:58
000582,北部湾港,交通运输,sw,2026-05-24T20:41:58
000586,汇源通信,通信,sw,2026-05-24T20:41:58
000589,贵州轮胎,汽车,sw,2026-05-24T20:41:58
000590,古汉医药,医药生物,sw,2026-05-24T20:41:58
000591,太阳能,公用事业,sw,2026-05-24T20:41:58
000592,平潭发展,农林牧渔,sw,2026-05-24T20:41:58
000593,德龙汇能,公用事业,sw,2026-05-24T20:41:58
000595,*ST宝实,机械设备,sw,2026-05-24T20:41:58
000596,古井贡酒,食品饮料,sw,2026-05-24T20:41:58
000597,东北制药,医药生物,sw,2026-05-24T20:41:58
000598,兴蓉环境,环保,sw,2026-05-24T20:41:58
000599,青岛双星,汽车,sw,2026-05-24T20:41:58
000600,建投能源,公用事业,sw,2026-05-24T20:41:58
000601,韶能股份,公用事业,sw,2026-05-24T20:41:58
000603,盛达资源,有色金属,sw,2026-05-24T20:41:58
000605,渤海股份,环保,sw,2026-05-24T20:41:58
000607,华媒控股,传媒,sw,2026-05-24T20:41:58
000608,阳光股份,房地产,sw,2026-05-24T20:41:58
000609,*ST中迪,房地产,sw,2026-05-24T20:41:58
000610,*ST西旅,社会服务,sw,2026-05-24T20:41:58
000612,焦作万方,有色金属,sw,2026-05-24T20:41:58
000615,*ST美谷,美容护理,sw,2026-05-24T20:41:58
000617,中油资本,非银金融,sw,2026-05-24T20:41:58
000619,海螺新材,建筑材料,sw,2026-05-24T20:41:58
000620,盈新发展,房地产,sw,2026-05-24T20:41:58
000623,吉林敖东,医药生物,sw,2026-05-24T20:41:58
000625,长安汽车,汽车,sw,2026-05-24T20:41:58
000626,远大控股,交通运输,sw,2026-05-24T20:41:58
000628,高新发展,建筑装饰,sw,2026-05-24T20:41:58
000629,钒钛股份,钢铁,sw,2026-05-24T20:41:58
000630,铜陵有色,有色金属,sw,2026-05-24T20:41:58
000631,顺发恒能,房地产,sw,2026-05-24T20:41:58
000632,ST三木,综合,sw,2026-05-24T20:41:58
000633,合金投资,有色金属,sw,2026-05-24T20:41:58
000635,英 力 特,基础化工,sw,2026-05-24T20:41:58
000636,风华高科,电子,sw,2026-05-24T20:41:58
000637,茂化实华,石油石化,sw,2026-05-24T20:41:58
000638,*ST万方,国防军工,sw,2026-05-24T20:41:58
000639,ST西王,食品饮料,sw,2026-05-24T20:41:58
000650,仁和药业,医药生物,sw,2026-05-24T20:41:58
000651,格力电器,家用电器,sw,2026-05-24T20:41:58
000652,泰达股份,综合,sw,2026-05-24T20:41:58
000655,金岭矿业,钢铁,sw,2026-05-24T20:41:58
000656,*ST金科,房地产,sw,2026-05-24T20:41:58
000657,中钨高新,有色金属,sw,2026-05-24T20:41:58
000659,珠海中富,轻工制造,sw,2026-05-24T20:41:58
000661,长春高新,医药生物,sw,2026-05-24T20:41:58
000663,永安林业,农林牧渔,sw,2026-05-24T20:41:58
