代码,名称,最新价,涨跌幅,成交额,市盈率-动态,市净率,换手率,总市值,流通市值,所属行业,量比,振幅,内外盘比例,ROE,净利率,毛利率,营收增长率,净利润增长率,资产负债率,经营现金流/净利润,数据来源,更新时间
000001,平安银行,10.99,-0.543,1074648533.0,,,,,,银行,,,0.98,0.0283,0.41168466,0.71910876,0.04651576,0.0302922799999999,0.90982989,2.602905,真实数据,2026-05-17 20:20:39
000002,万 科Ａ,3.78,-2.326,459772879.0,,,,,,未知,,,,-0.0523,-0.21057895,0.09145383,-0.23863255,0.0470769199999999,0.77134504,0.321666,真实数据,2026-05-17 20:20:39
000004,*ST国华,0.0,0.0,0.0,,,,,,未知,,,,-0.0705,-0.23847425,0.7999544199999999,-0.09340795,0.45348429,0.66568624,4.653949,真实数据,2026-05-17 20:20:39
000006,深振业Ａ,9.72,-2.213,462786783.0,,,,,,未知,,,,0.0014,0.02615227,0.15615365,-0.67541206,1.29023124,0.61700538,23.020199,真实数据,2026-05-17 20:20:39
000007,全新好,12.69,-1.322,198572674.0,,,,,,未知,,,,-0.012,-0.02534735,0.09481822,0.2972159299999999,-2.224729,0.43799782,187.01515,真实数据,2026-05-17 20:20:39
000008,神州高铁,2.69,-1.825,140865761.0,,,,,,未知,,,,-0.0139999999999999,-0.12923273,0.3233475899999999,0.08067523,0.28679282,0.73170704,0.012245,真实数据,2026-05-17 20:20:39
000009,中国宝安,7.92,-1.124,206566195.0,,,,,,未知,,,,0.0017,0.04504919,0.25001757,0.19718191,-0.89641213,0.6019652099999999,-11.44473,真实数据,2026-05-17 20:20:39
000010,*ST美丽,2.7,3.846,162557873.0,,,,,,未知,,,,0.0964,0.30357354,0.08282443,0.12937719,5.67126848,0.8682325799999999,-1.522135,真实数据,2026-05-17 20:20:39
000011,深物业A,7.6,-1.682,44253558.0,,,,,,未知,,,,-0.0081,-0.05408836,0.1287347499999999,0.12733974,-6.44082956,0.7874545500000001,-61.563017,真实数据,2026-05-17 20:20:39
000012,南 玻Ａ,3.73,-3.117,100309830.0,,,,,,未知,,,,-0.0075,-0.03460787,0.11020849,-0.02560543,-7.215694150000001,0.57593375,9.1236,真实数据,2026-05-17 20:20:39
000014,沙河股份,12.11,-1.545,78187458.0,,,,,,未知,,,,-0.0051,-0.05838325,0.2269832299999999,0.2860324,-0.30346218,0.29381106,-8.618088,真实数据,2026-05-17 20:20:39
000016,*ST康佳A,3.19,-1.543,101242378.0,,,,,,未知,,,,-0.5345,-0.11776661,0.0598577199999999,-0.24084664,-2.93887882,1.31091317,-4.448718,真实数据,2026-05-17 20:20:39
000017,深中华A,5.91,-1.005,40472536.0,,,,,,未知,,,,0.0158,0.04610419,0.10739987,-0.1761498299999999,0.03567205,0.1875459,-7.033375,真实数据,2026-05-17 20:20:39
000019,深粮控股,7.05,-1.536,100828230.0,,,,,,未知,,,,0.0129,0.05588579,0.1689918,-0.0547531,-0.28884466,0.3243791199999999,3.614201,真实数据,2026-05-17 20:20:39
000020,深华发Ａ,13.58,-2.722,98318983.0,,,,,,未知,,,,0.0121999999999999,0.03407175,0.12432369,-0.28052034,-0.12163942,0.36564901,0.322851,真实数据,2026-05-17 20:20:39
